Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
1,,,4121024997,0,01-03-2022,437,,Fruit Vegetables,397,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,397,Cash
2,,,4121024997,0,01-03-2022,437,220210,Sprite Soft Drink Bt 750Ml,28.6,14.00%,3.99,14.00%,3.99,-,-,12.00%,3.42,-,-,27,PC,1,40,Cash
3,,,4121024998,0,01-03-2022,20,,Shreenath Basil Italian  ,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
4,,,4121024999,0,01-03-2022,50,2106,Lite N Fit Soya Chips 200 gm,47.62,2.50%,1.19,2.50%,1.19,-,-,-,-,-,-,27,PC,1,50,Cash
5,,,4121025000,0,01-03-2022,123.5,,Kerala Tapioca Chips 70 Gmp,117.62,2.50%,2.94,2.50%,2.94,-,-,-,-,-,-,27,PC,2,65,Cash
6,,,4121025001,0,01-03-2022,230,,Harima Bread Crumbs,28.58,2.50%,0.71,2.50%,0.71,-,-,-,-,-,-,27,PC,1,30,Cash
7,,,4121025001,0,01-03-2022,230,,Crispy Chiken,200,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,100,Cash
8,,,4121025002,0,01-03-2022,1019,1704,Toblerone Of Switzerland 100G,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
9,,,4121025002,0,01-03-2022,1019,,Nutella,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
10,,,4121025002,0,01-03-2022,1019,,Kw Magnum Brownie,76.28,9.00%,6.86,9.00%,6.86,-,-,-,-,-,-,27,PC,1,90,Cash
11,,,4121025002,0,01-03-2022,1019,21050000,Br Baskin Robbin Almonds & Caramel,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
12,,,4121025002,0,01-03-2022,1019,,BR Mississippi MUD 100 Ml,127.12,9.00%,11.44,9.00%,11.44,-,-,-,-,-,-,27,PC,2,75,Cash
13,,,4121025002,0,01-03-2022,1019,7000,Neo Black pitted olives 230 Ml,169.66,6.00%,10.17,6.00%,10.17,-,-,-,-,-,-,27,PC,1,190,Cash
14,,,4121025002,0,01-03-2022,1019,,Grren Tokri Jalapeno,99,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,99,Cash
15,,,4121025002,0,01-03-2022,1019,2005,Neo Burger Chips 350 Gms,125,6.00%,7.5,6.00%,7.5,-,-,-,-,-,-,27,PC,1,140,Cash
16,,,4121025003,0,01-03-2022,200,,Hersheys Exotic Dark Rasberry & Goji 33 Gm,46.62,9.00%,4.19,9.00%,4.19,-,-,-,-,-,-,27,PC,1,55,Cash
17,,,4121025003,0,01-03-2022,200,10189094,Doublemint Lemon Flavour,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
18,,,4121025003,0,01-03-2022,200,,Foxs Berries,95,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,95,Cash
19,,,4121025004,0,01-03-2022,45,403,Amul Kool Lassee 200 Ml,40.18,6.00%,2.41,6.00%,2.41,-,-,-,-,-,-,27,PC,3,15,Cash
20,,,4121025005,0,01-03-2022,40,,Fruit Vegetables,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
21,,,4121025006,0,01-03-2022,33,,Fruit Vegetables,33,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,33,Cash
22,,,4121025007,0,01-03-2022,225,1806,Amul Milk Chocolate  150 G,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
23,,,4121025007,0,01-03-2022,225,1806,Amul Mystic Mocha  Chocolate 150Gms,105.94,9.00%,9.53,9.00%,9.53,-,-,-,-,-,-,27,PC,1,125,Cash
24,,zeta,4121025008,0,01-03-2022,20,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
25,,,4121025009,0,01-03-2022,639,,Modern Malai Paneer 250gm,100,2.50%,2.5,2.50%,2.5,-,-,-,-,-,-,27,PC,1,105,Cash
26,,,4121025009,0,01-03-2022,639,,Shreenath Edamamae,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
27,,,4121025009,0,01-03-2022,639,,Shreenath Mix Lettuce,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
28,,,4121025009,0,01-03-2022,639,220210,Almond Fresh\Vanila\Tpk 200 Ml- 24,59.34,9.00%,5.33,9.00%,5.33,-,-,-,-,-,-,27,PC,1,70,Cash
29,,,4121025009,0,01-03-2022,639,220210,So Good Almond Fresh\Chocolate\Tpk 200 Ml- 24,59.34,9.00%,5.33,9.00%,5.33,-,-,-,-,-,-,27,PC,1,70,Cash
30,,,4121025009,0,01-03-2022,639,,Shreenath Cut Broccoli,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
31,,,4121025009,0,01-03-2022,639,405,Amul Delicious Creamy Cheese Spread 200G,80.36,6.00%,4.82,6.00%,4.82,-,-,-,-,-,-,27,PC,1,90,Cash
32,,,4121025009,0,01-03-2022,639,1101,24Mantra Wholewheat Atta 1Kg,60.96,2.50%,1.52,2.50%,1.52,-,-,-,-,-,-,27,PC,1,64,Cash
33,,,4121025009,0,01-03-2022,639,2008,Roast Jowar Puffs Cheese & Puffs 80 gm,57.16,2.50%,1.42,2.50%,1.42,-,-,-,-,-,-,27,PC,1,60,Cash
34,,,4121025010,0,01-03-2022,1527,,228980,199,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,199,Cash
35,,,4121025010,0,01-03-2022,1527,1806,Chocalate M&m 45g,135.6,9.00%,12.2,9.00%,12.2,-,-,-,-,-,-,27,PC,2,80,Cash
36,,,4121025010,0,01-03-2022,1527,1509,Borges Olive Oil Rich Flavour Of Olive 500Ml,333.34,2.50%,8.33,2.50%,8.33,-,-,-,-,-,-,27,PC,1,350,Cash
37,,,4121025010,0,01-03-2022,1527,1806,Jb Choc Coin 68 Gm Plpch Gold [Mouldd],93.24,9.00%,8.38,9.00%,8.38,-,-,-,-,-,-,27,PC,1,110,Cash
38,,,4121025010,0,01-03-2022,1527,,Kelloggs Crunchy Bites,180,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,180,Cash
39,,,4121025010,0,01-03-2022,1527,2106,Gatorade Lemon Flavor Sports Drink 500Ml,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
40,,,4121025010,0,01-03-2022,1527,2106,Gatorade Blue Bolt 500Ml,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,2,50,Cash
41,,,4121025010,0,01-03-2022,1527,2106,Tex Mix Salsalito Wrap Tortilla Original 348G,180.96,2.50%,4.52,2.50%,4.52,-,-,-,-,-,-,27,PC,1,190,Cash
42,,,4121025010,0,01-03-2022,1527,1905,Fiesta Hot Dog Bread,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,25,Cash
43,,,4121025010,0,01-03-2022,1527,,Artisna Strawberry Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
44,,,4121025010,0,01-03-2022,1527,,Artisna Orange Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
45,,,4121025011,0,01-03-2022,260,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
46,,,4121025011,0,01-03-2022,260,220210,Sprite Soft Drink Bt 750Ml,57.17,14.00%,7.99,14.00%,7.99,-,-,12.00%,6.85,-,-,27,PC,2,40,Cash
47,,,4121025011,0,01-03-2022,260,220210,Thums Up 750Ml,57.17,14.00%,7.99,14.00%,7.99,-,-,12.00%,6.85,-,-,27,PC,2,40,Cash
48,,,4121025011,0,01-03-2022,260,210690,Cornitos Nacho Crisps - Tangy Masala 60 Gm Pouch,31.26,6.00%,1.87,6.00%,1.87,-,-,-,-,-,-,27,PC,1,35,Cash
49,,,4121025011,0,01-03-2022,260,210690,Cornitos Nacho Crisps Peri Peri 60 gm,31.26,6.00%,1.87,6.00%,1.87,-,-,-,-,-,-,27,PC,1,35,Cash
50,,,4121025012,0,01-03-2022,2351,2007,ST.DALFOUR FRANCE FOUR FRUITS jam conserve 284G,312.5,6.00%,18.75,6.00%,18.75,-,-,-,-,-,-,27,PC,1,350,Cash
51,,,4121025012,0,01-03-2022,2351,2008,Rostaa Morning Berries 340 on,571.44,6.00%,34.28,6.00%,34.28,-,-,-,-,-,-,27,PC,1,640,Cash
52,,,4121025012,0,01-03-2022,2351,,Maggi Veg Cubes 20 G,100,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,4,25,Cash
53,,,4121025012,0,01-03-2022,2351,19023,Samyang Hot Chicken Ramen Stew Type 145 Gm,111.62,6.00%,6.69,6.00%,6.69,-,-,-,-,-,-,27,PC,1,125,Cash
54,,,4121025012,0,01-03-2022,2351,,"Hershey""S Kisses Almonds 33.6gm",42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
55,,,4121025012,0,01-03-2022,2351,2106,Amul Garlic & Herbs Buttery Spread 100Gm,45.54,6.00%,2.73,6.00%,2.73,-,-,-,-,-,-,27,PC,1,51,Cash
56,,,4121025012,0,01-03-2022,2351,,Kellogg's Froot Loops ,175,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,175,Cash
